"","statistic.t","parameter.df","p.value","conf.int1","conf.int2","estimate.mean in group 1","estimate.mean in group 2","null.value.difference in means","alternative","method","data.name"
"Q1..Before.","-0.0873826884183709","53.2576289599101","0.930695061944505","-0.338560620158311","0.31028950743631","4.06451612903226","4.07865168539326","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q1..After.","-1.13321840256377","45.6870756702749","0.263034459332403","-0.53639869144956","0.150026817582219","4.54838709677419","4.74157303370786","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q1..Change.","-0.996235663010094","54.5622246546766","0.323533442107362","-0.539296171154652","0.181195410009309","0.483870967741935","0.662921348314607","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q2..Before.","0.323777969278085","61.8320593030033","0.74719877285986","-0.226923444113729","0.314636383584552","4.7741935483871","4.73033707865169","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q2..After.","-0.175280890271284","56.0684828715803","0.861490399734069","-0.315328247771083","0.264585224936722","5.06451612903226","5.08988764044944","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q2..Change.","-0.412880817898756","48.0341612649128","0.681531192207254","-0.40634615607439","0.267890193769207","0.290322580645161","0.359550561797753","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q3..Before.","-0.230321901755112","49.0747337604603","0.818799074589864","-0.408868937306782","0.324780499466986","3.93548387096774","3.97752808988764","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q3..After.","-0.337752976599848","49.0920755879553","0.736989387920327","-0.443320651196697","0.31573819378459","4.41935483870968","4.48314606741573","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q3..Change.","-0.0956038538844749","52.242290602289","0.924200991461621","-0.478148598864414","0.434654579292106","0.483870967741935","0.50561797752809","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q4..Before.","-0.346883207769297","49.9454203274909","0.730136405875602","-0.475012275356926","0.335106512399333","3.80645161290323","3.87640449438202","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q4..After.","-0.216943788614728","49.1942755197312","0.829149365489065","-0.37939229645081","0.305452463177884","4.32258064516129","4.35955056179775","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q4..Change.","0.185173557711268","61.8540339942937","0.853698764716079","-0.323088945257973","0.389054874942641","0.516129032258065","0.48314606741573","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q5..Before.","0.911697306856405","50.0035998168028","0.366302578540015","-0.252479828549372","0.672197117422152","3.58064516129032","3.37078651685393","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q5..After.","1.06699396547274","57.1625788352726","0.29046030415663","-0.21160884657697","0.694392463829597","4.12903225806452","3.8876404494382","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q5..Change.","0.16454744923653","58.5148888031211","0.869867299696522","-0.351995495963673","0.415061824343521","0.548387096774194","0.51685393258427","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q6..Before.","3.09029251034287","52.1639090784671","0.00320458837734057","0.253904617568778","1.19404259650747","4.25806451612903","3.53409090909091","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q6..After.","1.98574812464572","50.9336093173742","0.0524568823566522","-0.00513409201169101","0.936220234333789","4.56666666666667","4.10112359550562","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q6..Change.","-1.24483214011876","55.0095941218951","0.218470713304475","-0.701900962999581","0.164022175120793","0.333333333333333","0.602272727272727","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q7..Before.","2.62364625550247","62.8086121473311","0.0109066924331699","0.150452977853868","1.1123233903955","4.45161290322581","3.82022471910112","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q7..After.","1.59314030456067","60.7586247693508","0.116318279238745","-0.0922366988035057","0.814962324030038","4.70967741935484","4.34831460674157","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q7..Change.","-1.73577450841674","69.3123429078369","0.0870474625303369","-0.580343659413878","0.0402929163910439","0.258064516129032","0.528089887640449","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q8..Before.","1.45239973512767","55.3301029245031","0.152038103330672","-0.123975268215957","0.777110462126793","4.48387096774194","4.15730337078652","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q8..After.","0.263988464633017","57.3974435496797","0.792734348133319","-0.372290393095678","0.485374843983681","4.74193548387097","4.68539325842697","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q8..Change.","-1.31095491531199","50.379995012652","0.195817292290565","-0.683663228209483","0.143612485186649","0.258064516129032","0.528089887640449","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q9..Before.","1.67325577873003","72.5872061057041","0.0985816429385786","-0.0592529775893216","0.679042756494722","3.35483870967742","3.04494382022472","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q9..After.","0.590406708412436","59.8944060266708","0.557139217827445","-0.259672636210862","0.477142734072407","4.58064516129032","4.47191011235955","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q9..Change.","-1.01795193997102","57.6262457871355","0.312955644719767","-0.596778500162707","0.194458819118851","1.2258064516129","1.42696629213483","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q10..Before.","1.96526502125657","56.9089178121425","0.0542710597714324","-0.00842018198914583","0.89642308159045","3.87096774193548","3.42696629213483","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q10..After.","1.35401908112439","57.1155752724337","0.181063706923617","-0.108142528072566","0.559827921330994","4.9","4.67415730337079","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q10..Change.","-1.1456246781688","50.8105952621242","0.25731770825041","-0.680405824767534","0.186023802295624","1","1.24719101123595","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q11..Before.","1.89288119128737","60.3905536465247","0.0631686165697854","-0.0208250269772128","0.756598858075437","4.06451612903226","3.69662921348315","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q11..After.","0.479820242220293","66.9479287518934","0.632919138051645","-0.24510082243404","0.400229492241941","4.7741935483871","4.69662921348315","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q11..Change.","-1.42069892692667","53.6720468573915","0.161188058696091","-0.700080892255715","0.119435730965392","0.709677419354839","1","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q12..Before.","1.30835027230366","52.0098075148008","0.196507182599461","-0.135798716899787","0.6446787458958","3.83870967741935","3.58426966292135","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q12..After.","-0.351455839532663","53.0114616925469","0.726639511772388","-0.457014827322014","0.320733565995448","4.51612903225806","4.58426966292135","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q12..Change.","-1.48581372033619","57.3488255960718","0.142805323114617","-0.757272726598213","0.112111436275632","0.67741935483871","1","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q13..Before.","-0.468226454252626","39.833376529287","0.642174721421491","-0.591436156185797","0.368966745729734","3.61290322580645","3.72413793103448","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q13..After.","-0.162572124889864","50.1345541069341","0.871508840019293","-0.459817167894209","0.390951636904721","4.51612903225806","4.55056179775281","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q13..Change.","0.227991709837443","40.9113299779239","0.820788366496771","-0.504088836472819","0.632379529835815","0.903225806451613","0.839080459770115","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q14..Before.","1.36513012295537","60.2296734893666","0.177289817120578","-0.103726459897679","0.549703471391931","4.53333333333333","4.31034482758621","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q14..After.","0.273745944175934","45.3970773063694","0.785521554805482","-0.359370425674616","0.472454876562619","4.74193548387097","4.68539325842697","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q14..Change.","-0.852588209578105","45.5754768608949","0.398346121220241","-0.676167245279205","0.273868394704493","0.166666666666667","0.367816091954023","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q15..Before.","-0.200410151542748","45.4047956821226","0.842054802694957","-0.448464183316645","0.367275346781669","3.90322580645161","3.9438202247191","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q15..After.","-0.432204306727055","65.7543737298527","0.667007029729466","-0.408331076617475","0.263012724557549","4.46666666666667","4.53932584269663","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q15..Change.","-0.265732148952309","45.7471513662615","0.791639423077122","-0.53319164412156","0.40884707483317","0.533333333333333","0.595505617977528","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q16..Before.","0.453012791411953","53.5153981923372","0.652370953529019","-0.2769576861905","0.438610458934246","4.45161290322581","4.37078651685393","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q16..After.","0.511922516545935","61.3776255438786","0.610542313465123","-0.236957046927578","0.400059620323736","4.93548387096774","4.85393258426966","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q16..Change.","0.00376608578573136","59.0825713275901","0.997007792862671","-0.384417624424151","0.385867425076561","0.483870967741935","0.48314606741573","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q17..Before.","1.24276951286973","51.4343813193153","0.219588672864742","-0.152488119948715","0.648319943073035","4.48387096774194","4.23595505617978","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q17..After.","1.09717252658454","64.0735249497973","0.276672322927954","-0.169085747536049","0.581109207946607","4.7741935483871","4.56818181818182","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q17..Change.","-0.0853553341851798","50.2482353401268","0.932318094594959","-0.404618210794735","0.371627008448694","0.290322580645161","0.306818181818182","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q18..Assigned.Text.Read.Completely.","-0.452354508703138","50.4422469866059","0.652953072371624","-1.51802694705068","0.959853695872716","7.20967741935484","7.48876404494382","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q19..Chinese.Translation.","0.416128805609743","54.3769294152563","0.678953611838275","-1.19813873125855","1.82590241375221","5.01612903225806","4.70224719101124","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q20..Time.RJ.","-0.192542542673175","52.5147144908854","0.848059920793134","-1.75906023688499","1.4509775982478","6.17741935483871","6.3314606741573","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q21..Time.reading.","-1.48297274134834","54.0503464345396","0.143889435386508","-0.803432168805494","0.120213611357143","2.2258064516129","2.56741573033708","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q22....Lecture.","1.43692172155333","54.3290326997218","0.156474528412601","-0.0315165346900522","0.191067096487805","0.7","0.620224719101124","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q23....tutorial.participation.","1.700794079613","95.8655993216993","0.0922234672176114","-0.00681416278586539","0.0883654494839444","0.867741935483871","0.826966292134832","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q24","1.2420920321639","67.5597506559379","0.218497122528187","-0.113831856062671","0.489063595031896","3.61290322580645","3.42528735632184","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q25","0.863636672186313","55.7893903443887","0.391485389209866","-0.157710184477611","0.396713117028931","4.09677419354839","3.97727272727273","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q26","1.86315696763405","65.1875479583694","0.0669461840340063","-0.0192273247699879","0.554417940605765","4.29032258064516","4.02272727272727","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q27","2.53473306470607","83.4024470486708","0.0131214899440457","0.0766653340320081","0.635262647963491","3.48387096774194","3.12790697674419","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q28","0.984126837498221","64.1901905083313","0.328748113238117","-0.157797386259073","0.464248999162299","3.90322580645161","3.75","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q29","1.41878448216426","47.0184459617844","0.162556966973571","-0.102393055051007","0.59240841603411","3.93548387096774","3.69047619047619","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q30","0.298830317623333","57.4915861052056","0.766147036347232","-0.297985759355141","0.40254638226949","3.74193548387097","3.68965517241379","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q31","1.50033439329809","62.805643530127","0.138538428719703","-0.0722926680931077","0.50777653906085","3.96774193548387","3.75","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q32","0.240644503166536","69.5625222365839","0.810538479756396","-0.21620510281104","0.275530278932657","3.90322580645161","3.8735632183908","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q33","0.605191026834948","61.317741338603","0.547285432389522","-0.144408086401906","0.269774655316861","4.09677419354839","4.03409090909091","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q34","1.70673426160824","61.3466271615277","0.0929290857321451","-0.0396628308908033","0.502272801565289","4.12903225806452","3.89772727272727","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q35","1.64518208238346","53.8885420107986","0.105753636347173","-0.0623283705273843","0.632332525076615","3.58620689655172","3.30120481927711","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"LA1","1.18325638652255","76.6530470061957","0.240364368080097","-0.15575865081973","0.611872679326857","3.48387096774194","3.25581395348837","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"LA2","1.23942716363496","70.7273303600666","0.219284329323433","-0.146621993045533","0.628242398146808","3.61290322580645","3.37209302325581","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"LA3","1.49623788073305","69.4073478139825","0.139125260643172","-0.0964762739179147","0.675621060114464","3.87096774193548","3.58139534883721","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"LA4","-0.687321269572989","62.7718826352849","0.4944120104864","-0.527663288098299","0.25759577121908","3.51612903225806","3.65116279069767","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"LA5","-0.564023928909404","58.40983181591","0.574897224454664","-0.445292216892006","0.249493267154572","3.7741935483871","3.87209302325581","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Grade","0.448280198052017","54.7089883013867","0.655721367902933","-0.170218716488999","0.268297730624556","3.18387096774194","3.13483146067416","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"cGPA..After.","0.155935997691343","51.0079932469932","0.876698976804737","-0.140435070154959","0.164088567799033","3.11935483870968","3.10752808988764","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"cGPA..Before.","-84.6512973286363","88","4.20046454972368e-86","-3.18611587590922","-3.03995153982112","0","3.11303370786517","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"rawdata..Raw.Mark..Performance..","0.845643265860043","52.3990194244679","0.401596930212266","-0.391998867140293","0.963220324189949","14.7451612903226","14.4595505617978","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Quiz.1","0.466578400027948","50.5503124089773","0.642806169146758","-0.57237140984902","0.918873765775081","7.64516129032258","7.47191011235955","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Quiz.2","0.347012149104405","52.2669790934255","0.72997554764224","-0.622223948009087","0.882463165116735","7.35483870967742","7.2247191011236","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Quiz.3","1.13451783235803","47.52223669835","0.262267762810273","-0.376686603625721","1.35167754237164","7.90322580645161","7.41573033707865","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Quiz.4","1.95164541850572","83.1324942263147","0.0543475739046231","-0.0124234407810957","1.31361952631933","7.7741935483871","7.12359550561798","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Quiz.5","0.601273453672922","55.1811637672574","0.550120053511991","-0.627366423057887","1.16524246510211","6.51612903225806","6.24719101123596","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Quiz.Highest.4","1.34931290918285","55.2839402861633","0.182736758795975","-0.669839283206198","3.43170952604781","31.7741935483871","30.3932584269663","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Quiz.Converted","1.34931290918284","55.2839402861633","0.182736758795976","-0.401903569923722","2.05902571562868","19.0645161290323","18.2359550561798","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"RJ.Thinking...6.","0.428403531981826","46.1517517744919","0.670350190728908","-0.290868108518754","0.448171479305271","4","3.92134831460674","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"RJ.Understanding...4.","0.567577015530225","53.7450252929404","0.572685628919035","-0.177630853932232","0.317899067052928","2.56451612903226","2.49438202247191","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"RJ.Language...1.","-0.1556173882501","57.4783891258629","0.876879854831779","-0.057794092517929","0.0494577387665698","0.967741935483871","0.971910112359551","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"RJ.Presentation...1.","0.0928016418094246","52.6903722283847","0.926413109474786","-0.0747235412868362","0.0819725445488876","0.919354838709677","0.915730337078652","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"RJ.Total...12.","0.46858466042367","47.9192353523198","0.641491235942789","-0.487872882724463","0.784357116142366","8.45161290322581","8.30337078651685","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"RJ.Converted...15.","0.467738254045339","47.9343072196162","0.642091437496263","-0.610149585836073","0.980073471301822","10.5670967741935","10.3821348314607","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"TP.Thinking...6.","-0.826905143513598","51.184056954895","0.41212927351731","-0.382640759876393","0.159371459405208","3.98387096774194","4.09550561797753","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"TP.Understanding...4.","0.574967654803664","48.257188974662","0.567984321539824","-0.150656936722306","0.271352841035463","2.53225806451613","2.47191011235955","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"TP.Language...2.","-1.11277250454651","39.2430004665331","0.272576339560447","-0.173594960606392","0.0503619051515165","1.87096774193548","1.93258426966292","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"TP.Presentation...2.","0.59502231071694","74.6488332510539","0.553628037194893","-0.0612796847954701","0.113472508282241","1.91935483870968","1.89325842696629","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"TP.Total...14.","-0.290125549798683","50.4419943374971","0.772909569213895","-0.598639545530703","0.447497827516931","10.3064516129032","10.3820224719101","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"TP.Converted...35.","-0.290125549798685","50.4419943374971","0.772909569213895","-1.49659886382676","1.11874456879233","25.7661290322581","25.9550561797753","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"rawdata.Total","0.743924826741797","56.6068622704697","0.45999888307374","-2.10527404426416","4.59353790798287","75.788064516129","74.5439325842697","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
